iter	Passed	Remaining
249	2330	44278
250	2338	44246
251	2347	44221
252	2354	44177
253	2366	44227
254	2374	44185
255	2383	44174
256	2390	44111
257	2398	44086
258	2406	44045
259	2414	44016
260	2422	43984
261	2431	43964
262	2444	44022
263	2455	44044
264	2464	44029
265	2471	43986
266	2482	43998
267	2489	43961
268	2498	43941
269	2505	43890
270	2514	43872
271	2527	43928
272	2536	43916
273	2544	43885
274	2553	43876
275	2561	43837
276	2570	43825
277	2577	43786
278	2587	43786
279	2595	43751
280	2603	43728
281	2611	43690
282	2620	43684
283	2628	43644
284	2637	43639
285	2645	43605
286	2654	43587
287	2661	43545
288	2670	43539
289	2680	43532
290	2689	43513
291	2696	43476
292	2704	43451
293	2711	43409
294	2720	43397
295	2727	43348
296	2736	43331
297	2743	43280
298	2749	43229
299	2757	43196
300	2764	43160
301	2774	43158
302	2784	43164
303	2793	43153
304	2801	43125
305	2809	43093
306	2817	43069
307	2826	43057
308	2834	43035
309	2845	43042
310	2854	43043
311	2862	43009
312	2872	43007
313	2879	42979
314	2888	42960
315	2894	42906
316	2900	42847
317	2908	42828
318	2916	42796
319	2924	42770
320	2932	42741
321	2941	42727
322	2949	42701
323	2957	42676
324	2964	42645
325	2980	42728
326	2996	42823
327	3006	42829
328	3021	42899
329	3033	42925
330	3047	42985
331	3056	42981
332	3065	42959
333	3073	42939
334	3082	42929
335	3091	42909
336	3098	42873
337	3107	42861
338	3115	42839
339	3122	42802
340	3130	42769
341	3138	42742
342	3150	42778
343	3164	42827
344	3172	42800
345	3179	42771
346	3188	42760
347	3197	42738
348	3205	42714
349	3212	42684
350	3222	42679
351	3230	42662
352	3238	42638
353	3245	42599
354	3254	42585
355	3261	42546
356	3268	42508
357	3281	42544
358	3290	42541
359	3298	42508
360	3306	42490
361	3314	42468
362	3325	42482
363	3332	42447
364	3346	42498
365	3353	42464
366	3364	42478
367	3374	42477
368	3383	42467
369	3392	42456
370	3399	42419
371	3407	42397
372	3417	42387
373	3426	42380
374	3433	42343
375	3442	42339
376	3450	42312
377	3459	42295
378	3467	42275
379	3476	42270
380	3492	42342
381	3502	42342
382	3511	42333
383	3519	42309
384	3528	42301
385	3535	42266
386	3545	42264
387	3552	42227
388	3561	42219
389	3571	42221
390	3583	42237
391	3591	42218
392	3598	42188
393	3606	42159
394	3615	42148
395	3622	42116
396	3630	42099
397	3639	42080
398	3649	42082
399	3657	42058
400	3665	42040
401	3673	42021
402	3683	42018
403	3690	41979
404	3698	41961
405	3704	41920
406	3712	41895
407	3719	41861
408	3733	41905
409	3740	41875
410	3751	41881
411	3759	41865
412	3767	41843
413	3777	41842
414	3786	41836
415	3796	41836
416	3803	41805
417	3813	41801
418	3821	41780
419	3829	41761
420	3836	41725
421	3843	41698
422	3853	41695
423	3867	41742
424	3876	41731
425	3886	41724
426	3892	41690
427	3900	41665
428	3907	41638
429	3920	41661
430	3927	41634
431	3934	41604
432	3944	41600
433	3950	41559
434	3957	41530
435	3965	41510
436	3973	41485
437	3990	41563
438	4003	41591
439	4017	41634
440	4025	41615
