iter	Accuracy	Logloss
169	0.911072344	0.1992056642
170	0.9111406311	0.1987868792
171	0.9114433556	0.1984536622
172	0.911466118	0.198333954
173	0.9114888803	0.1981399133
174	0.911466118	0.1980598402
175	0.9114433556	0.1979984624
176	0.9116906967	0.197809727
177	0.9116906967	0.1977862893
178	0.9116906967	0.1977840899
179	0.9118143672	0.1976756632
180	0.9115897885	0.1976046097
181	0.9115897885	0.1972616837
182	0.9118371296	0.1971105806
183	0.9118143672	0.1969953985
184	0.9116125509	0.1969259407
185	0.9119934212	0.1968083829
186	0.9123871952	0.1963629324
187	0.9123090494	0.1962056146
188	0.912286287	0.1960758662
189	0.9120389459	0.1958825198
190	0.9120389459	0.1957653249
191	0.9123871952	0.1955234625
192	0.9125336281	0.1952352022
193	0.9127809692	0.1949067338
194	0.9131292184	0.1945957723
195	0.9130283102	0.1942293252
196	0.913252889	0.1940405321
197	0.913252889	0.1937577487
198	0.9133537971	0.1936492122
199	0.9135783758	0.1933113549
200	0.91350023	0.1931671702
201	0.9134774677	0.1930435424
202	0.9137020464	0.1928163087
203	0.9139266251	0.1927224912
204	0.9138029546	0.1925850687
205	0.9134547053	0.1924750622
206	0.9134547053	0.1921968904
207	0.9133310348	0.1920463131
208	0.9136337593	0.1918109902
209	0.9137119051	0.1915088182
210	0.9135100888	0.1912092145
211	0.9137119051	0.1911925325
212	0.9138128133	0.1910527101
213	0.9137119051	0.1908630856
214	0.9137119051	0.1906891527
215	0.9137119051	0.1905450758
216	0.9136337593	0.190356549
217	0.9137574298	0.1901327509
218	0.9138029546	0.1896363375
219	0.914252112	0.1894710699
220	0.9143302578	0.1894264647
221	0.91482494	0.189191794
222	0.9149486105	0.1890431818
223	0.9151504268	0.1888653198
224	0.9151504268	0.1888440696
225	0.9150267563	0.1887451424
226	0.9153977679	0.1884854287
227	0.9153196221	0.1880644342
228	0.9155214385	0.187940506
229	0.9154205303	0.1879208057
230	0.9155669632	0.1877636813
231	0.9152414763	0.1876507262
232	0.9153977679	0.1875455528
233	0.9155442008	0.1874140877
234	0.9155214385	0.1871173262
235	0.915645109	0.1871131396
236	0.9155442008	0.1868942903
237	0.915645109	0.1867043676
238	0.9157687795	0.1866825514
239	0.9158696877	0.1866160912
240	0.9158696877	0.1864619514
241	0.9158924501	0.1861738556
242	0.9155897256	0.1858563076
243	0.9154432927	0.1855409059
244	0.916038883	0.1852753003
245	0.9163643699	0.1851142882
246	0.916217937	0.1850229499
247	0.9166898568	0.184907447
248	0.916611711	0.1846966062
249	0.9161397912	0.1845965769
250	0.9162634617	0.1844559944
251	0.9161625535	0.184382984
252	0.9166344733	0.184194481
253	0.9166344733	0.1840641045
254	0.9166572357	0.1839537799
255	0.9170836308	0.1838514317
256	0.9168818144	0.1836727544
257	0.9169827226	0.1834893627
258	0.916611711	0.183393069
259	0.9171390142	0.1832629519
260	0.9172399224	0.1831292198
261	0.9178127503	0.1830556478
262	0.9176336964	0.1828958648
263	0.9178582751	0.1827461178
264	0.9181609996	0.1826052133
265	0.9179591832	0.1825410043
266	0.9177801293	0.1822488079
267	0.9176792211	0.1820684317
268	0.9178810374	0.1819620103
269	0.9183529572	0.1816836001
270	0.9184766278	0.1815212257
271	0.9183757196	0.181506947
272	0.9185775359	0.1813534354
273	0.918431103	0.1812055294
274	0.918431103	0.1811741868
275	0.9187565899	0.1809823463
276	0.9186556818	0.1809298234
277	0.9189811686	0.1807681183
278	0.9188802605	0.1806188119
279	0.919182985	0.180438028
280	0.9192838932	0.1803177712
281	0.9192057474	0.1800871663
282	0.9193066555	0.1799846155
283	0.9192057474	0.1798408915
284	0.9190820768	0.1796707621
285	0.9187793523	0.1794589222
286	0.9186784441	0.1792710744
287	0.9188802605	0.1791387372
288	0.9188802605	0.1791085958
289	0.919003931	0.1789597814
290	0.9191048392	0.1789013033
291	0.9190266934	0.1788322238
292	0.9187793523	0.1787210167
293	0.9190820768	0.1787037491
294	0.9188802605	0.1784245058
295	0.9187793523	0.1783164421
296	0.9190266934	0.1781164511
297	0.9191503639	0.1780685487
298	0.9191276015	0.1779893042
299	0.9192740345	0.1778005697
300	0.9192740345	0.1777712536
301	0.919397705	0.1776367892
302	0.9193749426	0.1775075783
303	0.9192740345	0.1773602967
304	0.919397705	0.1772545911
305	0.9194986132	0.1772238173
306	0.9196222837	0.1771737145
307	0.9196450461	0.1770877418
308	0.9195441379	0.1770587513
309	0.9195441379	0.1769845927
310	0.9196450461	0.1769030028
311	0.9196450461	0.1768605302
312	0.9195441379	0.1766340089
313	0.9198696248	0.1765499437
314	0.9197687166	0.1764713377
315	0.919970533	0.1764225567
316	0.9197459542	0.1763722296
317	0.9196450461	0.1763221818
318	0.9196450461	0.1761372185
319	0.919791479	0.1759790946
320	0.9196905708	0.1758756001
321	0.9196905708	0.175769874
322	0.9196905708	0.1755913919
323	0.9196905708	0.1755772873
324	0.9198142413	0.1754426967
325	0.9197133332	0.1752997661
326	0.9198370037	0.1752148601
327	0.9197133332	0.1751723775
328	0.9201397282	0.1749679533
329	0.9203643069	0.1748103815
330	0.9204424528	0.1746844479
331	0.9205433609	0.1746526926
332	0.9204424528	0.1746160456
333	0.9206442691	0.1745577595
334	0.920790702	0.1744482258
335	0.9206897938	0.1744020526
336	0.9206897938	0.1743551551
337	0.9205888857	0.1742466641
338	0.9206897938	0.1742002858
339	0.920790702	0.1741821236
340	0.9210934265	0.1740888127
341	0.9210934265	0.1740654197
342	0.9210934265	0.1739492335
343	0.9212952429	0.173717726
344	0.9211715723	0.1736671366
345	0.9213961511	0.1736300999
346	0.9211715723	0.173541837
347	0.9210706642	0.1734558354
348	0.9213733887	0.1734202757
349	0.9213180052	0.1732280865
350	0.9213180052	0.1730744288
351	0.9212398594	0.1728049633
352	0.9214416758	0.1727075204
353	0.9214416758	0.1727035033
354	0.9211389513	0.1725316253
355	0.9211617136	0.172413485
356	0.9212398594	0.1723135006
357	0.9211389513	0.1722187279
358	0.9213862923	0.1720302355
359	0.9214090547	0.1718598028
360	0.9214318171	0.1717096853
361	0.9214318171	0.1716503509
362	0.9215327252	0.1715608278
363	0.9215327252	0.1715181158
364	0.9215554876	0.171335112
365	0.9215554876	0.1712950332
366	0.9215554876	0.1711530247
367	0.9215554876	0.1711333529
368	0.9217800663	0.170947809
369	0.9217800663	0.1709203362
370	0.9217800663	0.1707548166
371	0.9217800663	0.1706212938
372	0.9216791581	0.1705891777
373	0.9218028287	0.1703923057
374	0.9219037369	0.1702827488
375	0.921757304	0.1702042431
376	0.9218582121	0.1701220768
377	0.9219591203	0.170050287
378	0.9219591203	0.1699380808
379	0.9220827908	0.1698869635
380	0.9219591203	0.1697752582
381	0.9220600285	0.1696993502
382	0.9225091859	0.1695592361
383	0.9224082777	0.1694398876
384	0.9224310401	0.1693504422
385	0.9224310401	0.1693012615
386	0.9224082777	0.1692096228
387	0.9226100941	0.1690673117
388	0.9228574352	0.1688885753
389	0.9227337646	0.1688454015
390	0.9229583433	0.168637254
391	0.9229583433	0.1685114243
392	0.9231047762	0.1682875157
393	0.9229811057	0.1681518873
394	0.9230820139	0.1681340345
395	0.9230820139	0.1681195777
396	0.9230820139	0.1681137339
397	0.9231829221	0.1680337531
398	0.9234075008	0.1679117349
399	0.9232838302	0.1678038604
400	0.9236093171	0.1676772418
401	0.9235084089	0.1676130549
402	0.9231829221	0.1674821725
403	0.9231829221	0.1674577252
404	0.9233065926	0.1674017017
405	0.9234075008	0.1673648332
406	0.9232838302	0.1672947525
407	0.9235311713	0.1671327113
408	0.9235311713	0.1670589581
409	0.9236320795	0.1669558251
410	0.9234075008	0.166912219
411	0.9235311713	0.1668725042
412	0.92375575	0.166740874
413	0.9238566582	0.166622582
414	0.9242375285	0.1663856349
415	0.9244848696	0.166321109
416	0.9243611991	0.1662422323
417	0.9243611991	0.1661183318
418	0.9244621073	0.166018607
419	0.9244621073	0.1658156715
420	0.9245857778	0.1657267255
421	0.9245857778	0.165716492
422	0.924686686	0.1656550221
423	0.924507632	0.1654864925
424	0.9247094483	0.1653531564
425	0.9247094483	0.1652904803
426	0.924686686	0.1651356262
427	0.924686686	0.1650912912
428	0.9247875941	0.1649832505
429	0.9247648318	0.1649158421
430	0.9252139892	0.1647671326
431	0.9253376598	0.1647279685
432	0.9254385679	0.1647153184
433	0.9251358434	0.1646878562
434	0.9253376598	0.1645495178
435	0.9253376598	0.1645444032
436	0.9253148974	0.1645057893
437	0.9253148974	0.1643362748
438	0.9251912268	0.1642627861
439	0.925292135	0.1642130787
440	0.925292135	0.1641219607
